# linkbench_mlx @16k, qmode=direct, seeds 1-21, paired

## dense control
  [dense control] mlx_lm, DKV NOT loaded
  [1/21] seed=1 answer=Riverton said=Riverton hit=True (19s)
  [2/21] seed=2 answer=Northgate said=Northgate hit=True (18s)
  [3/21] seed=3 answer=Fairhaven said=Fairhaven hit=True (18s)
  [4/21] seed=4 answer=Thornfield said=Thornfield hit=True (19s)
  [5/21] seed=5 answer=Bellcastle said=Bellcastle hit=True (19s)
  [6/21] seed=6 answer=Riverton said=Riverton hit=True (19s)
  [7/21] seed=7 answer=Summerlin said=Summerlin hit=True (19s)
  [8/21] seed=8 answer=Cadwick said=Cadwick hit=True (18s)
  [9/21] seed=9 answer=Riverton said=Riverton hit=True (18s)
  [10/21] seed=10 answer=Bellcastle said=Bellcastle hit=True (18s)
  [11/21] seed=11 answer=Portwick said=Portwick hit=True (18s)
  [12/21] seed=12 answer=Summerlin said=Summerlin hit=True (18s)
  [13/21] seed=13 answer=Summerlin said=Summerlin hit=True (18s)
  [14/21] seed=14 answer=Fairhaven said=Fairhaven hit=True (18s)
  [15/21] seed=15 answer=Oldbridge said=Oldbridge hit=True (18s)
  [16/21] seed=16 answer=Oldbridge said=Oldbridge hit=True (18s)
  [17/21] seed=17 answer=Westvale said=Westvale hit=True (18s)
  [18/21] seed=18 answer=Millbrook said=Millbrook hit=True (18s)
  [19/21] seed=19 answer=Larkhill said=Larkhill hit=True (18s)
  [20/21] seed=20 answer=Summerlin said=Summerlin hit=True (19s)
  [21/21] seed=21 answer=Eastmere said=Eastmere hit=True (18s)
LINKBENCH-MLX engine=dense model=mlx-community/Qwen3.5-2B-4bit ctx=14937 hops=2 qmode=direct rotated_pool=n/a HITS=21/21

## DKV block 1024
  [dkv] preset=mid rotated_pool=True block_size=1024
  [1/24] seed=1 answer=Riverton said=Riverton hit=True (31s)
  [2/24] seed=2 answer=Northgate said=Northgate hit=True (31s)
  [3/24] seed=3 answer=Fairhaven said=Fairhaven hit=True (31s)
  [4/24] seed=4 answer=Thornfield said=Thornfield hit=True (31s)
  [5/24] seed=5 answer=Bellcastle said=Bellcastle hit=True (31s)
  [6/24] seed=6 answer=Riverton said=Riverton hit=True (30s)
  [7/24] seed=7 answer=Summerlin said=Summerlin hit=True (30s)
  [8/24] seed=8 answer=Cadwick said=Cadwick hit=True (30s)
  [9/24] seed=9 answer=Riverton said=Riverton hit=True (31s)
  [10/24] seed=10 answer=Bellcastle said=Bellcastle hit=True (30s)
  [11/24] seed=11 answer=Portwick said=Portwick hit=True (29s)
  [12/24] seed=12 answer=Summerlin said=Summerlin hit=True (29s)
  [13/24] seed=13 answer=Summerlin said=Summerlin hit=True (29s)
  [14/24] seed=14 answer=Fairhaven said=Fairhaven hit=True (29s)
  [15/24] seed=15 answer=Oldbridge said=Oldbridge hit=True (29s)
  [16/24] seed=16 answer=Oldbridge said=Oldbridge hit=True (29s)
  [17/24] seed=17 answer=Westvale said=Westvale hit=True (29s)
  [18/24] seed=18 answer=Millbrook said=Millbrook hit=True (29s)
  [19/24] seed=19 answer=Larkhill said=Larkhill hit=True (29s)
  [20/24] seed=20 answer=Summerlin said=Summerlin hit=True (29s)
  [21/24] seed=21 answer=Eastmere said=Eastmere hit=True (29s)
  [22/24] seed=22 answer=Cadwick said=Cadwick hit=True (30s)
  [23/24] seed=23 answer=Eastmere said=Eastmere hit=True (30s)
  [24/24] seed=24 answer=Glassmere said=Glassmere hit=True (43s)
LINKBENCH-MLX engine=dkv model=mlx-community/Qwen3.5-2B-4bit ctx=14916 hops=2 qmode=direct rotated_pool=1 HITS=24/24

## DKV block 256
  [dkv] preset=mid rotated_pool=True block_size=256
  [1/21] seed=1 answer=Riverton said=Riverton hit=True (42s)
  [2/21] seed=2 answer=Northgate said=None hit=False (31s)
  [3/21] seed=3 answer=Fairhaven said=None hit=False (30s)
  [4/21] seed=4 answer=Thornfield said=Westvale hit=False (30s)
  [5/21] seed=5 answer=Bellcastle said=Bellcastle hit=True (30s)
  [6/21] seed=6 answer=Riverton said=Riverton hit=True (30s)
  [7/21] seed=7 answer=Summerlin said=Westvale hit=False (30s)
  [8/21] seed=8 answer=Cadwick said=Cadwick hit=True (30s)
  [9/21] seed=9 answer=Riverton said=None hit=False (30s)
  [10/21] seed=10 answer=Bellcastle said=Fairhaven hit=False (30s)
  [11/21] seed=11 answer=Portwick said=Bellcastle hit=False (30s)
  [12/21] seed=12 answer=Summerlin said=None hit=False (30s)
  [13/21] seed=13 answer=Summerlin said=None hit=False (29s)
  [14/21] seed=14 answer=Fairhaven said=Fairhaven hit=True (29s)
  [15/21] seed=15 answer=Oldbridge said=Oldbridge hit=True (29s)
  [16/21] seed=16 answer=Oldbridge said=None hit=False (29s)
  [17/21] seed=17 answer=Westvale said=Westvale hit=True (29s)
  [18/21] seed=18 answer=Millbrook said=Millbrook hit=True (29s)
  [19/21] seed=19 answer=Larkhill said=Fairhaven hit=False (29s)
  [20/21] seed=20 answer=Summerlin said=Summerlin hit=True (29s)
  [21/21] seed=21 answer=Eastmere said=Fairhaven hit=False (29s)
LINKBENCH-MLX engine=dkv model=mlx-community/Qwen3.5-2B-4bit ctx=14937 hops=2 qmode=direct rotated_pool=1 HITS=9/21
